"ent","sigle","siteID","siteName","lon","lat","elev","poldiv1","region","nsample","ndate","clammodel","use","upperdepth","lowerdepth"
687,"VITAVATT",582,"Vitavattsgyl",15.116667,56.333333,70,"SWE","Sweden",13,0,NA,NA,NA,NA
688,"VIVIIS",583,"Lake Viviis",22.783333,39.583333,50,"GRC","Greece",15,0,NA,NA,NA,NA
689,"VNEMCICE",584,"Velke Nemcice",16.683333,48.991667,177,"CZE","Czech Republic",8,1,NA,NA,NA,NA
690,"VOHMA",585,"Vôhma Mire",27.333333,59.05,46,"EST","Estonia",50,14,2,2,NA,NA
691,"VOISE",586,"Vallée de la Voise",1.75,48.416667,150,"FRA","France",62,5,1,2,NA,NA
692,"VOLOS",587,"Lake Volos",27.116667,55.766667,120,"BLR","Belarus",26,0,NA,NA,NA,NA
693,"VOLVI",588,"Volvi 6",23.5,40.75,100,"GRC","Greece",23,0,NA,NA,NA,NA
694,"VRACOV",589,"Vracov",17.202778,48.977778,192,"CZE","Czech Republic",103,1,NA,NA,NA,NA
695,"W_WAW15",590,"Warszawa Wawrzyszew",20.941667,52.286111,98,"POL","Poland",75,0,NA,NA,NA,NA
696,"WELNEY",591,"Welney Washes",0.25,52.516667,2,"GBR","United Kingdom",86,8,2,2,NA,NA
697,"WEST",592,"Mire Pelisoo",22.383333,58.466667,33,"EST","Estonia",57,5,2,2,NA,NA
698,"WIGGENHA",593,"Wiggenhall St. Germans",0.339444,52.692778,1,"GBR","United Kingdom",30,3,1,2,NA,NA
699,"WILLINGH",594,"Willingham Mere",-0.057222,52.339722,2,"GBR","United Kingdom",35,2,1,2,NA,NA
700,"W-KASP",595,"Warsaw Kasprzak Street",20.980833,52.230278,110,"POL","Poland",65,0,NA,NA,NA,NA
701,"XK120",596,"Black Sea (South)",28.485,42.0675,-94,"BGR","Bulgaria",11,1,1,2,NA,NA
702,"XK-55",597,"Black Sea (Southwest 2)",28.888889,42.0675,0,"BGR","Bulgaria",13,1,1,2,NA,NA
703,"YAMANT",598,"Yamant-Nur",102.6,49.9,1000,"MNG","Mongolia",43,1,NA,NA,NA,NA
704,"YESNABY",599,"Yesnaby",-3.333333,59.016667,17,"GBR","United Kingdom",25,0,NA,NA,NA,NA
