"ent","sigle","siteID","siteName","lon","lat","elev","poldiv1","region","nsample","ndate","clammodel","use","upperdepth","lowerdepth","optional"
1570,"BAJONDI",1260,"Bajondillo",-4.496389,36.619722,20,"ESP","Spain",103,7,NA,NA,NA,NA,TRUE
1571,"YESERAS",1261,"Camino de las Yeseras",-3.503056,40.441944,580,"ESP","Spain",18,1,NA,NA,NA,NA,TRUE
1572,"ZAFRIN",1262,"El Zafrín",-2.438611,35.177222,10,"ESP","Spain",45,0,NA,NA,NA,NA,TRUE
1573,"BOSCESTA",1263,"Bosc dels Estanyons",1.628889,42.480278,2180,"AND","Andorra",92,7,NA,NA,NA,NA,TRUE
1574,"PERAFITA",1264,"Planell de Perafita",1.566944,42.479167,2240,"AND","Andorra",59,9,NA,NA,NA,NA,TRUE
1575,"FURAMOOS",1265,"Füramoos",9.883333,47.983333,662,"DEU","Germany",169,0,NA,NA,NA,NA,TRUE
1576,"BM1",1266,"Burmarrad ria",14.414444,35.935,16,"MLT","Malta",28,5,NA,NA,NA,NA,TRUE
1577,"JAMEREEM",868,"Jammertal",9.728889,48.1,578,"DEU","Germany",63,0,NA,NA,NA,NA,TRUE
1578,"HES1",1267,"Herrenwiesser see",8.296389,48.669167,830,"DEU","Germany",354,26,NA,NA,NA,NA,TRUE
1579,"HES2",1267,"Herrenwiesser see",8.296389,48.669167,830,"DEU","Germany",64,15,NA,NA,NA,NA,TRUE
1580,"CRH",1212,"Cerná Hora",15.755833,50.660556,1206,"CZE","Czech Republic",37,10,NA,NA,NA,NA,TRUE
1581,"MB5A",1268,"Horní Lomná",18.630833,49.520556,615,"CZE","Czech Republic",23,3,NA,NA,NA,NA,TRUE
1582,"CERVENAL",1269,"Cervená louka",13.723333,50.131389,339,"CZE","Czech Republic",50,0,NA,NA,NA,NA,TRUE
1583,"SA9B",1270,"Hurecká Bog",13.3275,49.152222,870,"CZE","Czech Republic",109,6,NA,NA,NA,NA,TRUE
1584,"CHRAST",1271,"Chrást",14.544167,50.227222,164,"CZE","Czech Republic",32,6,NA,NA,NA,NA,TRUE
